 # Table of time averaged horizontal averages.
 # Code version: ANTARES v1.0. Statistics version: Statistics v2.9c
 # File: cosc13_tav_table_eos.dat                        
 # Duration of time averages [sec]:   40011.7501581558
 # Number of snap shots in time:   2527
 # Sampling interval (time interval / (samples-1)) [sec]:   15.8399644331575
 # Vertical grid size, horizontal grid size(s):   350  170  170
 # Average vertical resolution, average horizontal resolution(s) [km]:   1.11057E+01  3.52957E+01  3.52957E+01
 # All quantities below are given in cgs-units
 # depth, <ptoteos>, <dpdro_t>, <dpdt_ro>, <c_p>, <c_v>, <nabla_ad>, <uint>, <duintdro_t>, <duintdt_ro>, <cs>, <S>, <gamma_1>, <nabla>, <u_p>, <u_p_tot>, <u_dp_dx>, <u_dptot_dx>, <nabla_m_nabla_ad>, <nablaeos>, <nablaeos_m_nabla_ad>, <dT_dx>, <dP_dx>, <dPtot_dx>, <temp_spl>, <dT_dx_spl>, <cs^2>
   0.1110578E+08   0.1449033E+04   0.2822818E+12   0.3416220E+00   0.1714029E+09   0.1043960E+09   0.3895344E+00   0.2003141E+13  -0.4599908E+18   0.1043014E+09   0.6811844E+06   0.1812528E+10   0.1644102E+01   0.2331312E-01   0.2516607E+07   0.1779542E+07   0.8113898E-01   0.4047690E-01  -0.3662213E+00   0.2283983E-01  -0.3666946E+00   0.9337474E-05   0.1377410E-03   0.1408012E-03   0.4281423E+04   0.9321065E-05   0.4649911E+12
   0.1221636E+08   0.1610203E+04   0.2829343E+12   0.3789755E+00   0.1720566E+09   0.1049925E+09   0.3885600E+00   0.2003937E+13  -0.4260105E+18   0.1048904E+09   0.6815060E+06   0.1805590E+10   0.1641996E+01   0.2277752E-01   0.2390969E+07   0.1667266E+07   0.7845581E-01   0.3659865E-01  -0.3657825E+00   0.2235802E-01  -0.3662020E+00   0.9128192E-05   0.1527724E-03   0.1561232E-03   0.4291673E+04   0.9134448E-05   0.4655318E+12
   0.1332693E+08   0.1788961E+04   0.2835782E+12   0.4203095E+00   0.1726798E+09   0.1055581E+09   0.3876633E+00   0.2004726E+13  -0.3963965E+18   0.1054487E+09   0.6818657E+06   0.1798686E+10   0.1640077E+01   0.2277280E-01   0.2176259E+07   0.1455727E+07   0.7748798E-01   0.3414679E-01  -0.3648905E+00   0.2238833E-01  -0.3652749E+00   0.9161122E-05   0.1694198E-03   0.1730869E-03   0.4301789E+04   0.9155227E-05   0.4661049E+12
   0.1443751E+08   0.1987158E+04   0.2842368E+12   0.4659940E+00   0.1732490E+09   0.1060724E+09   0.3868632E+00   0.2005546E+13  -0.3691244E+18   0.1059558E+09   0.6822965E+06   0.1791828E+10   0.1638379E+01   0.2350984E-01   0.1868482E+07   0.1141274E+07   0.7725550E-01   0.3201839E-01  -0.3633534E+00   0.2314276E-01  -0.3637204E+00   0.9465670E-05   0.1878137E-03   0.1918286E-03   0.4312116E+04   0.9468342E-05   0.4667547E+12
   0.1554809E+08   0.2206834E+04   0.2849252E+12   0.5164412E+00   0.1737532E+09   0.1065262E+09   0.3861619E+00   0.2006421E+13  -0.3432446E+18   0.1064024E+09   0.6828145E+06   0.1785027E+10   0.1636900E+01   0.2466517E-01   0.1469666E+07   0.7264758E+06   0.7865338E-01   0.3103278E-01  -0.3614967E+00   0.2430821E-01  -0.3618536E+00   0.9947204E-05   0.2081241E-03   0.2125268E-03   0.4322880E+04   0.9946520E-05   0.4675047E+12
   0.1665867E+08   0.2450209E+04   0.2856553E+12   0.5720966E+00   0.1741884E+09   0.1069164E+09   0.3855542E+00   0.2007372E+13  -0.3183674E+18   0.1067845E+09   0.6834288E+06   0.1778290E+10   0.1635625E+01   0.2615879E-01   0.9783921E+06   0.2100441E+06   0.8172134E-01   0.3112553E-01  -0.3593954E+00   0.2580858E-01  -0.3597456E+00   0.1055792E-04   0.2305240E-03   0.2353627E-03   0.4334258E+04   0.1055870E-04   0.4683699E+12
   0.1776924E+08   0.2719709E+04   0.2864343E+12   0.6334457E+00   0.1745567E+09   0.1072454E+09   0.3850303E+00   0.2008408E+13  -0.2944712E+18   0.1071051E+09   0.6841416E+06   0.1771622E+10   0.1634529E+01   0.2784957E-01   0.3924685E+06  -0.4102888E+06   0.8674911E-01   0.3249169E-01  -0.3571807E+00   0.2750656E-01  -0.3575238E+00   0.1124904E-04   0.2552043E-03   0.2605380E-03   0.4346362E+04   0.1124919E-04   0.4693561E+12
   0.1887982E+08   0.3017978E+04   0.2872670E+12   0.7010130E+00   0.1748631E+09   0.1075179E+09   0.3845789E+00   0.2009536E+13  -0.2717048E+18   0.1073686E+09   0.6849515E+06   0.1765028E+10   0.1633585E+01   0.2966746E-01  -0.2929754E+06  -0.1139799E+07   0.9407620E-01   0.3533897E-01  -0.3549114E+00   0.2933403E-01  -0.3552449E+00   0.1199008E-04   0.2823676E-03   0.2882680E-03   0.4359263E+04   0.1199031E-04   0.4704647E+12
   0.1999040E+08   0.3347892E+04   0.2881561E+12   0.7753639E+00   0.1751131E+09   0.1077393E+09   0.3841900E+00   0.2010761E+13  -0.2501977E+18   0.1075798E+09   0.6858556E+06   0.1758510E+10   0.1632772E+01   0.3155636E-01  -0.1084935E+07  -0.1986198E+07   0.1037584E+00   0.3956257E-01  -0.3526336E+00   0.3123617E-01  -0.3529538E+00   0.1275986E-04   0.3122309E-03   0.3187857E-03   0.4373005E+04   0.1275982E-04   0.4716945E+12
   0.2110098E+08   0.3712577E+04   0.2891032E+12   0.8571049E+00   0.1753113E+09   0.1079137E+09   0.3838561E+00   0.2012084E+13  -0.2300311E+18   0.1077431E+09   0.6868513E+06   0.1752070E+10   0.1632071E+01   0.3348144E-01  -0.1992822E+07  -0.2959905E+07   0.1155193E+00   0.4469241E-01  -0.3503746E+00   0.3317891E-01  -0.3506772E+00   0.1354389E-04   0.3450259E-03   0.3523412E-03   0.4387610E+04   0.1354386E-04   0.4730441E+12
