 # Table of time averaged horizontal averages.
 # Code version: ANTARES v1.0. Statistics version: Statistics v2.9c
 # File: cosc13_tav_table.dat                            
 # Duration of time averages [sec]:   40011.7501581558
 # Number of snap shots in time:   2527
 # Sampling interval (time interval / (samples-1)) [sec]:   15.8399644331575
 # Vertical grid size, horizontal grid size(s):   350  170  170
 # Average vertical resolution, average horizontal resolution(s) [km]:   1.11057E+01  3.52957E+01  3.52957E+01
 # All quantities below are given in cgs-units
 # depth, <vel_x>,  <vel_y>,  <vel_z>, <T>,  <rho>,  <p_gr>, <p_turb>, <vx_rms>, <vy_rms>, <vz_rms>, <vx2>, <vy2>, <vz2>, <vx3>, <vy3>, <vz3>, <vx4>, <vy4>, <vz4>, <vx theta>, <vx2 theta>, <vx theta2>, <vx3 theta>, <vx2 theta2>, <vx theta3>, <theta2>, <theta3>, <theta4>, <dg_pri2>
   0.1110578E+08  -0.1221669E+05  -0.1591326E+05  -0.7996595E+04   0.4281423E+04   0.5138198E-08   0.1449033E+04   0.6502607E+02   0.1182973E+06   0.1477744E+06   0.1503675E+06   0.1399426E+11   0.2183727E+11   0.2261040E+11  -0.2126848E+15   0.8228088E+13  -0.5281258E+14   0.6875470E+21   0.1559225E+22   0.1645768E+22   0.8203954E+07   0.1042699E+12   0.2667141E+10   0.4027408E+18   0.1921790E+16   0.3359992E+13   0.1113421E+06   0.9225784E+07   0.4624279E+11   0.3906265E-17
   0.1221636E+08  -0.1142322E+05  -0.1614581E+05  -0.8203447E+04   0.4291673E+04   0.5697733E-08   0.1610203E+04   0.6858337E+02   0.1148549E+06   0.1476007E+06   0.1500547E+06   0.1319165E+11   0.2178596E+11   0.2251642E+11  -0.2202632E+15   0.2635831E+13  -0.4962168E+14   0.6107004E+21   0.1543850E+22   0.1622164E+22   0.7213971E+07   0.5006539E+11   0.2428455E+10   0.3504991E+18   0.1922685E+16   0.3210021E+13   0.1206265E+06   0.9228074E+07   0.5299130E+11   0.4573773E-17
   0.1332693E+08  -0.1077849E+05  -0.1642275E+05  -0.8431238E+04   0.4301789E+04   0.6316738E-08   0.1788961E+04   0.7247813E+02   0.1116592E+06   0.1478143E+06   0.1501507E+06   0.1246777E+11   0.2184906E+11   0.2254522E+11  -0.2226348E+15  -0.5087284E+13  -0.4590077E+14   0.5452296E+21   0.1544838E+22   0.1616139E+22   0.6121666E+07   0.8470059E+10   0.2140320E+10   0.2988588E+18   0.1891169E+16   0.2921316E+13   0.1274905E+06   0.8997682E+07   0.5817831E+11   0.5356488E-17
   0.1443751E+08  -0.1026191E+05  -0.1673944E+05  -0.8679573E+04   0.4312116E+04   0.7000815E-08   0.1987159E+04   0.7674038E+02   0.1086995E+06   0.1484108E+06   0.1506483E+06   0.1181558E+11   0.2202578E+11   0.2269490E+11  -0.2216307E+15  -0.1454361E+14  -0.4128807E+14   0.4893235E+21   0.1561882E+22   0.1627181E+22   0.4974225E+07  -0.2096838E+11   0.1831559E+10   0.2490140E+18   0.1835655E+16   0.2530756E+13   0.1320340E+06   0.8575451E+07   0.6168769E+11   0.6274673E-17
   0.1554809E+08  -0.9851054E+04  -0.1708881E+05  -0.8947580E+04   0.4322880E+04   0.7756184E-08   0.2206834E+04   0.8141071E+02   0.1059685E+06   0.1493922E+06   0.1515444E+06   0.1122932E+11   0.2231802E+11   0.2296571E+11  -0.2185404E+15  -0.2529500E+14  -0.3574119E+14   0.4414992E+21   0.1595359E+22   0.1655449E+22   0.3808712E+07  -0.3942778E+11   0.1524534E+10   0.2016986E+18   0.1763991E+16   0.2075991E+13   0.1345255E+06   0.7985879E+07   0.6361089E+11   0.7351889E-17
   0.1665867E+08  -0.9528811E+04  -0.1745960E+05  -0.9232377E+04   0.4334258E+04   0.8589559E-08   0.2450209E+04   0.8653741E+02   0.1034587E+06   0.1507534E+06   0.1528291E+06   0.1070371E+11   0.2272660E+11   0.2335672E+11  -0.2143040E+15  -0.3694824E+14  -0.2952233E+14   0.4005384E+21   0.1645742E+22   0.1701310E+22   0.2653839E+07  -0.4869969E+11   0.1234035E+10   0.1574254E+18   0.1683008E+16   0.1590507E+13   0.1352912E+06   0.7254596E+07   0.6414906E+11   0.8615877E-17
   0.1776924E+08  -0.9280811E+04  -0.1783817E+05  -0.9528148E+04   0.4346362E+04   0.9508247E-08   0.2719709E+04   0.9218010E+02   0.1011647E+06   0.1524851E+06   0.1544882E+06   0.1023431E+11   0.2325169E+11   0.2386662E+11  -0.2096851E+15  -0.4914235E+14  -0.2286306E+14   0.3654601E+21   0.1713606E+22   0.1765333E+22   0.1529451E+07  -0.5097269E+11   0.9686308E+09   0.1164316E+18   0.1598632E+16   0.1101470E+13   0.1346807E+06   0.6411152E+07   0.6356560E+11   0.1009898E-16
   0.1887982E+08  -0.9096064E+04  -0.1820958E+05  -0.9826228E+04   0.4359263E+04   0.1052015E-07   0.3017978E+04   0.9841101E+02   0.9908309E+05   0.1545734E+06   0.1565071E+06   0.9817460E+10   0.2389295E+11   0.2449447E+11  -0.2052400E+15  -0.6159026E+14  -0.1580526E+14   0.3354807E+21   0.1799597E+22   0.1848145E+22   0.4486123E+06  -0.4835028E+11   0.7319593E+09   0.7881813E+17   0.1515371E+16   0.6293198E+12   0.1330222E+06   0.5488409E+07   0.6213572E+11   0.1183899E-16
   0.1999040E+08  -0.8965992E+04  -0.1856049E+05  -0.1011719E+05   0.4373005E+04   0.1163377E-07   0.3347892E+04   0.1053185E+03   0.9721223E+05   0.1570019E+06   0.1588705E+06   0.9450218E+10   0.2464961E+11   0.2523983E+11  -0.2013660E+15  -0.7411477E+14  -0.8203887E+13   0.3099483E+21   0.1904404E+22   0.1950525E+22  -0.5818373E+06  -0.4254900E+11   0.5246907E+09   0.4435758E+17   0.1436118E+16   0.1870910E+12   0.1305928E+06   0.4523758E+07   0.6010388E+11   0.1387986E-16
   0.2110098E+08  -0.8883567E+04  -0.1888086E+05  -0.1039441E+05   0.4387610E+04   0.1285828E-07   0.3712577E+04   0.1130098E+03   0.9555157E+05   0.1597493E+06   0.1615583E+06   0.9130103E+10   0.2551984E+11   0.2610108E+11  -0.1982187E+15  -0.8661961E+14  -0.3549231E+10   0.2882918E+21   0.2028783E+22   0.2073249E+22  -0.1559698E+07  -0.3493694E+11   0.3446390E+09   0.1274162E+17   0.1362829E+16  -0.2172223E+12   0.1276072E+06   0.3552558E+07   0.5766833E+11   0.1627241E-16
